Category 3,How does the author of Ecclesiastes describe himself?,The preacher,Obed,David,Saul,Ecclesiastes,Ecclesiastes 1:1
Category 3,Who is the author of Ecclesiastes?,Solomon,David,Moses,Esther,Ecclesiastes,Ecclesiastes 1:1
Category 3,Who was the father of the author of Ecclesiastes?,David,Moses,Ezekiel,Samuel,Ecclesiastes,Ecclesiastes 1:1
Category 3,Where did the author of Ecclesiastes rule as king?,Jerusalem,Samaria,Lachish,Gad,Ecclesiastes,Ecclesiastes 1:1
Category 3,How does Solomon describe the book of Ecclesiastes?,The words of the preacher,The songs of the preacher,The vision of the preacher,The prophecy of the preacher,Ecclesiastes,Ecclesiastes 1:1
Category 3,How many things does Ecclesiastes say were of old time?,All,A few,Many,None,Ecclesiastes,Ecclesiastes 1:10
Category 3,"Which biblical writer asked: “Is there any thing whereof it may be said, See, this is new?”",Solomon,Hezekiah,A priest,All of the above,Ecclesiastes,Ecclesiastes 1:10
Category 3,"How much of the things that are to come will be remembered, according to Ecclesiastes?",None,All,Most,The important bits,Ecclesiastes,Ecclesiastes 1:11
Category 3,How well does Ecclesiastes say the former things are remembered?,Not at all,Rarely,Very well,In pieces,Ecclesiastes,Ecclesiastes 1:11
Category 3,Who in Ecclesiastes is said to be king over Israel?,The author,Jonathan,Joash,Laban,Ecclesiastes,Ecclesiastes 1:12
Category 3,What was the position of the writer of Ecclesiastes?,King,Prophet,Priest,Servant,Ecclesiastes,Ecclesiastes 1:12
Category 3,Where did the writer of Ecclesiastes live?,Jerusalem,Jericho,Hazor ,Bethel,Ecclesiastes,Ecclesiastes 1:12
Category 3,Regarding how many things did the writer of Ecclesiastes say he looked for wisdom?,All,A few,Some ,A great many,Ecclesiastes,Ecclesiastes 1:13
Category 3,Where is this quote found: “this sore travail hath God given to the sons of man to be exercised therewith”?,Ecclesiastes ,Romans,Jude,Deuteronomy,Ecclesiastes,Ecclesiastes 1:13
Category 3,What did the writer of Ecclesiastes say he specifically did to gain wisdom?,He sought it,Readbooks,Read manuscripts,Spoke to wise men,Ecclesiastes,Ecclesiastes 1:13
Category 3,What did the writer of Ecclesiastes say he had given his heart to search out?,Wisdom,Love,Money,Favor,Ecclesiastes,Ecclesiastes 1:13
Category 3,"Who said: “I have seen all the works that are done under the sun; and, behold, all is vanity and vexation of spirit”?",Solomon,David,Moses,Jesus,Ecclesiastes,Ecclesiastes 1:14
Category 3,What does the writer of Ecclesiastes say that which is crooked cannot be made?,Straight,More crooked,Whole,Good,Ecclesiastes,Ecclesiastes 1:15
Category 3,What does the writer of Ecclesiastes say cannot be done to that which is wanting?,It can’t be numbered,It can’t be seen,It can’t be observed,It can’t be known,Ecclesiastes,Ecclesiastes 1:15
Category 3,What does the writer of Ecclesiastes say he communed with?,His heart,His head,His soul ,His spirit,Ecclesiastes,Ecclesiastes 1:16
Category 3,What did the writer of Ecclesiastes say his heart had great experience of?,Knowledge,Horses,Foods,Jewels,Ecclesiastes,Ecclesiastes 1:16
Category 3,What did the writer of Ecclesiastes say his heart had great experience of?,Wisdom,Women,Passion,Money,Ecclesiastes,Ecclesiastes 1:16
Category 3,What did the writer of Ecclesiastes say he had gotten more than all those who had been before him in Jerusalem?,Wisdom,Women,Temples ,Gods,Ecclesiastes,Ecclesiastes 1:16
Category 3,What did the writer of Ecclesiastes say his search for wisdom was to the spirit?,Vexation,Profit,Joy,Amusement,Ecclesiastes,Ecclesiastes 1:17
Category 3,What did the writer of Ecclesiastes say he had given his heart to know?,Folly,Science,Archeology,Prophecy,Ecclesiastes,Ecclesiastes 1:17
Category 3,What did the writer of Ecclesiastes say he had given his heart to know?,Madness,Wine,Strong drink,Drugs,Ecclesiastes,Ecclesiastes 1:17
Category 3,What did the writer of Ecclesiastes say he had given his heart to know?,Wisdom,Women,Governance,Power,Ecclesiastes,Ecclesiastes 1:17
Category 3,What did the writer of Ecclesiastes say he had given so that he could know wisdom?,His heart,His time,His efforts,His leisure,Ecclesiastes,Ecclesiastes 1:17
Category 3,What does the writer of Ecclesiastes say increases in those who increase knowledge?,Sorrow,Joy,Laughter,Labor,Ecclesiastes,Ecclesiastes 1:18
Category 3,What does writer of Ecclesiastes say comes with much wisdom?,Much grief,Joy,Friends,Money,Ecclesiastes,Ecclesiastes 1:18
Category 3,"Finish this verse in Ecclesiastes: “Vanity of vanities, saith the Preacher, vanity of vanities; all is…”",Vanity ,Lost,Rubbish,Dross,Ecclesiastes,Ecclesiastes 1:2
Category 3,Finish this question in Ecclesiastes: “What profit hath a man of all his labour which he taketh…?”,Under the sun,To the grave,In stride,With pleasure,Ecclesiastes,Ecclesiastes 1:3
Category 3,"In Ecclesiastes, what specifically does Solomon say abides while generations pass away?",The earth,The sun,The heavens,Life,Ecclesiastes,Ecclesiastes 1:4
Category 3,"In Ecclesiastes, what does Solomon say comes after one generation passes away?",Another generation,More taxes,Greater hardship,More sorrow,Ecclesiastes,Ecclesiastes 1:4
Category 3,"In Ecclesiastes, what does Solomon say arises and goes down?",The sun,The moon,Life,The tide,Ecclesiastes,Ecclesiastes 1:5
Category 3,"In Ecclesiastes, what does Solomon say hastens to the place where it arose?",The sun,The moon,The spirit,The shadow,Ecclesiastes,Ecclesiastes 1:5
Category 3,What does the writer of Ecclesiastes say whirls about continually?,The wind,Waves,Snows,Leaves,Ecclesiastes,Ecclesiastes 1:6
Category 3,What does the writer of Ecclesiastes say the wind “returneth again” according to?,His circuits,His birthplace,A vacuum,The heights,Ecclesiastes,Ecclesiastes 1:6
Category 3,What does the writer of Ecclesiastes say goes toward the south and turns about unto the north?,The wind,The rains,Snow,The frost,Ecclesiastes,Ecclesiastes 1:6
Category 3,What does the writer of Ecclesiastes notice about the sea with all the water pouring into it?,It’s not full,It is salty,It is never still,It froths,Ecclesiastes,Ecclesiastes 1:7
Category 3,Which of these does the writer of Ecclesiastes say returns to where it came from?,Rivers,Salmon,Turtles,Birds,Ecclesiastes,Ecclesiastes 1:7
Category 3,What does the writer of Ecclesiastes say all run into the sea?,Rivers,Floods,Gutters,Dams,Ecclesiastes,Ecclesiastes 1:7
Category 3,What does the writer of Ecclesiastes say all things are full of?,Labor,Goodness,Pleasure,Air,Ecclesiastes,Ecclesiastes 1:8
Category 3,Who or what does the writer of Ecclesiastes say is not satisfied with seeing?,The eye,The king,The eagle,Death,Ecclesiastes,Ecclesiastes 1:8
Category 3,What is it that the writer of Ecclesiastes says does not fill the ear?,Hearing,Music,Voices,Flattery,Ecclesiastes,Ecclesiastes 1:8
Category 3,How many new things does the writer of Ecclesiastes say are there under the sun?,None,Many,Very few,A vast number,Ecclesiastes,Ecclesiastes 1:9
Category 3,"Complete the statement from Ecclesiastes, “and that which is done is that which shall…”",Be done ,Be sustained,Be remembered,Be written down,Ecclesiastes,Ecclesiastes 1:9
Category 3,"Complete the statement from Ecclesiastes, “The thing that hath been, it is that which…”",Shall be ,Was to be,Is finished,Is done,Ecclesiastes,Ecclesiastes 1:9
Category 3,What does the writer of Ecclesiastes say causes the ointment of the apothecary to stink?,Dead flies,Dead mice,Dirty mixture,A stale mixture,Ecclesiastes,Ecclesiastes 10:1
Category 3," Where is this verse found: “Remember now thy Creator in the days of thy youth, while the evil days come not, nor the years draw nigh, when thou shalt say, I have no pleasure in them”",Ecclesiastes,Genesis,Leviticus,Proverbs,Ecclesiastes,Ecclesiastes 12:1
Category 3,"Where is this verse found: “Let us hear the conclusion of the whole matter: Fear God, and keep his commandments: for this is the whole duty of man”",Ecclesiastes,Matthew,Deuteronomy,Mark,Ecclesiastes,Ecclesiastes 12:13
Category 3,"Where is this verse found: “For God shall bring every work into judgment, with every secret thing, whether it be good, or whether it be evil”",Ecclesiastes,Matthew,Ephesians,Mark,Ecclesiastes,Ecclesiastes 12:14
Category 3,"Where is this verse found: “Then I looked on all the works that my hands had wrought, and on the labour that I had laboured to do: and, behold, all was vanity and vexation of spirit, and there was no profit under the sun”?",Ecclesiastes ,Lamentation,Song of Solomon,Psalm,Ecclesiastes,Ecclesiastes 2:11
Category 3, Where does the writer of Ecclesiastes say the wise man’s eyes are?,In his head,In the clouds,In the mountains,In the skies,Ecclesiastes,Ecclesiastes 2:14
Category 3,Where does the writer of Ecclesiastes say the fool walks?,In darkness,In light,In the wilderness,In a lonely place,Ecclesiastes,Ecclesiastes 2:14
Category 3,"Where is this verse found: “There is nothing better for a man, than that he should eat and drink, and that he should make his soul enjoy good in his labour. This also I saw, that it was from the hand of God”",Ecclesiastes,Proverbs,Psalm,Job,Ecclesiastes,Ecclesiastes 2:24
Category 3," Where is this verse found: “To every thing there is a season, and a time to every purpose under the heaven”",Ecclesiastes,Proverbs,Psalm,Job,Ecclesiastes,Ecclesiastes 3: 1
Category 3,"Where is this verse found: “For that which befalleth the sons of men befalleth beasts; even one thing befalleth them: as the one dieth, so dieth the other; yea, they have all one breath; so that a man hath no preeminence above a beast: for all is vanity”",Ecclesiastes,Proverbs,Job,Psalm,Ecclesiastes,Ecclesiastes 3:19
Category 3,"Finish this statement in Ecclesiastes: “A time to be born, and a time to…”",Die,Age,Grow,Conceive,Ecclesiastes,Ecclesiastes 3:2
Category 3,"Finish this statement in Ecclesiastes: “a time to plant, and a time to…”",Pluck up that which is planted,Reap that which is planted,Cut down what is planted,Leave fallow,Ecclesiastes,Ecclesiastes 3:2
Category 3,What does the writer of Ecclesiastes say both man and beast are made of?,Dust,Flesh,Bones,Skin,Ecclesiastes,Ecclesiastes 3:20
Category 3,What does the writer of Ecclesiastes say man and beast return to in the end?,Dust,Nothingness,Blackness,Lifelessness,Ecclesiastes,Ecclesiastes 3:20
Category 3,"Where is this verse found: “Who knoweth the spirit of man that goeth upward, and the spirit of the beast that goeth downward to the earth?”",Ecclesiastes,Job,Proverbs,Psalm,Ecclesiastes,Ecclesiastes 3:21
Category 3,"Finish this statement in Ecclesiastes: “A time to kill, and a time to…”",Heal,Save,Protect,Nurture,Ecclesiastes,Ecclesiastes 3:3
Category 3,"Finish this statement in Ecclesiastes: “A time to break down, and a time to…”",Build up,Construct,Erect,Secure,Ecclesiastes,Ecclesiastes 3:3
Category 3,"Finish this statement in Ecclesiastes: “A time to weep, and a time to…”",Laugh,Dance,Sing,Cry,Ecclesiastes,Ecclesiastes 3:4
Category 3,"Finish this statement in Ecclesiastes: “a time to mourn, and a time to…”",Dance,Laugh,Shout,Sing,Ecclesiastes,Ecclesiastes 3:4
Category 3,"Finish this statement in Ecclesiastes: “a time to embrace, and a time to…”",Refrain from embracing,Push away,Step back,Hold at bay,Ecclesiastes,Ecclesiastes 3:5
Category 3,"Finish this statement in Ecclesiastes: “A time to cast away stones, and a time to…”",Gather stones together,Build with stones,Erect monuments,Secure stones,Ecclesiastes,Ecclesiastes 3:5
Category 3,"Finish this statement in Ecclesiastes: “A time to get, and a time to…”",Lose,Giveaway,Disburse,Cast off ,Ecclesiastes,Ecclesiastes 3:6
Category 3,"Finish this statement in Ecclesiastes: “a time to keep, and a time to…”",Cast away,Give away,Lose,Gamble,Ecclesiastes,Ecclesiastes 3:6
Category 3,"Finish this statement in Ecclesiastes: “a time to keep silence, and a time to…”",Speak,Shout,Scream,Make noise,Ecclesiastes,Ecclesiastes 3:7
Category 3,"Finish this statement in Ecclesiastes: “A time to rend, and a time to…”",Sew,Tear,Mend,Put together,Ecclesiastes,Ecclesiastes 3:7
Category 3,"Where is this verse found: “A time to love, and a time to hate; a time of war, and a time of peace”?",Ecclesiastes,Songs of Solomon,Proverbs,Psalm,Ecclesiastes,Ecclesiastes 3:8
Category 3,"Finish this statement in Ecclesiastes: “A time to love, and a time to…”",Hate,Dislike,Confront,Fight,Ecclesiastes,Ecclesiastes 3:8
Category 3,"Finish this statement in Ecclesiastes: “a time of war, and a time of…”",Peace,Tranquility,Silence,Freedom,Ecclesiastes,Ecclesiastes 3:8
Category 3,"Where is this verse found: “Better is a poor and a wise child than an old and foolish king, who will no more be admonished”",Ecclesiastes,Proverbs,Jeremiah,Haggai,Ecclesiastes,Ecclesiastes 4:13
Category 3,What does the writer of Ecclesiastes say the fool does to his own flesh?,Eats it,Washes it,Abuses it,Cares little for it,Ecclesiastes,Ecclesiastes 4:5
Category 3,What does the writer of Ecclesiastes say the fool does with his hands?,Folds them together,Rubs them together,Uses them well,Works hard with them,Ecclesiastes,Ecclesiastes 4:5
Category 3,"Finish this verse in Ecclesiastes: “Better is an handful with quietness, than both the hands full with travail and…”",Vexation of spirit,Contention,Discomfort,Confusion ,Ecclesiastes,Ecclesiastes 4:6
Category 3,"Who wrote these words: “the righteous, and the wise, and their works, are in the hand of God: no man knoweth either love or hatred by all that is before them”?",Solomon,David,Paul,Jesus,Ecclesiastes,Ecclesiastes 9:1
Category 3,"In Ecclesiastes 9, where does Solomon say there is “no work, nor device, nor knowledge, nor wisdom”?",In the grave,In heaven,In hell,In prison,Ecclesiastes,Ecclesiastes 9:10
Category 3,"Who wrote these words: “whatsoever thy hand findeth to do, do it with thy might”?",Solomon,Paul,Jesus ,Peter,Ecclesiastes,Ecclesiastes 9:10
Category 3,"In Ecclesiastes, who does Solomon say is not guaranteed bread?",The wise,The fool,The unwise,The bitter,Ecclesiastes,Ecclesiastes 9:11
Category 3,"In Ecclesiastes, what does Solomon say happens to all men and helps determine their lot in life?",Time and chance,Exposure and connections,Education and wealth,Luck and looks,Ecclesiastes,Ecclesiastes 9:11
Category 3,"In Ecclesiastes, who does Solomon say is not guaranteed riches?",Men of understanding,Men of wealth,Men of fame ,Men of power,Ecclesiastes,Ecclesiastes 9:11
Category 3,"In Ecclesiastes, who does Solomon say is not guaranteed the battle?",The strong,The weak,The coward,The slow-minded,Ecclesiastes,Ecclesiastes 9:11
Category 3,Finish this statement in Ecclesiastes by Solomon: “the race is not to the…”,Swift,Slow,Impatient,Foolheaded,Ecclesiastes,Ecclesiastes 9:11
Category 3,"Where is this verse found: “the race is not to the swift, nor the battle to the strong, neither yet bread to the wise, nor yet riches to men of understanding, nor yet favour to men of skill; but time and chance happeneth to them all”?",Ecclesiastes ,Galatians,2 Thessalonians,Proverbs,Ecclesiastes,Ecclesiastes 9:11
Category 3,"In Ecclesiastes, who does Solomon say is not guaranteed favor?",Men of skill,The unskilled,The talentless,The hopeless,Ecclesiastes,Ecclesiastes 9:11
Category 3,"In Ecclesiastes 9, what does Solomon say no man knows?",When he will die,When he will get rich,When he will fall in love,When he will fall ill,Ecclesiastes,Ecclesiastes 9:12
Category 3,"In Ecclesiastes 9, to what does Solomon compare the uncertainty of the length of a man’s life?",To fish caught in a net,To men in a violent quarrel,To a condemned prisoner,To a soldier in battle,Ecclesiastes,Ecclesiastes 9:12
Category 3,"In Ecclesiastes 9, whose wisdom does Solomon say is despised?",A poor man,The rich man,The scholar,The teacher,Ecclesiastes,Ecclesiastes 9:16
Category 3,"In Ecclesiastes 9, what does Solomon say is better than strength?",Wisdom,Money,Women,Cattle,Ecclesiastes,Ecclesiastes 9:16
Category 3,Where is this verse found: “The words of wise men are heard in quiet more than the cry of him that ruleth among fools”?,Ecclesiastes,Proverbs,Psalm,Mark,Ecclesiastes,Ecclesiastes 9:17
Category 3,"In Ecclesiastes 9, what does Solomon say is better than weapons of war?",Wisdom,Wealth,Power,Women,Ecclesiastes,Ecclesiastes 9:18
Category 3,"In Ecclesiastes 9, what does Solomon say a sinner destroys?",Much good,Nothing,Very little ,Himself,Ecclesiastes,Ecclesiastes 9:18
Category 3,Ecclesiastes 9:4 states that a living dog is better than a dead what?,Lion ,Bear,Eagle,Tiger,Ecclesiastes,Ecclesiastes 9:4
Category 3,"In Ecclesiastes 9, what does Solomon say all the living have?",Hope,Despair,Pain ,Suffering,Ecclesiastes,Ecclesiastes 9:4
Category 3,"In Ecclesiastes 9, what specifically did Solomon say is better than a dead lion?",A living dog,A living bear,A living mouse,A dead bear,Ecclesiastes,Ecclesiastes 9:4
Category 3,"In Ecclesiastes 9, what specifically does Solomon say the living know?",They shall die,Nothing,That life is painful,That life is difficult,Ecclesiastes,Ecclesiastes 9:5
Category 3,"In Ecclesiastes 9, who does Solomon say no longer takes part in anything that happens under the sun?",The dead,The half dead,The sinner,The fool,Ecclesiastes,Ecclesiastes 9:6
Category 3,Where is this verse found: “Let thy garments be always white; and let thy head lack no ointment”?,Ecclesiastes,Songs of Solomon ,Proverbs,Psalm,Ecclesiastes,Ecclesiastes 9:8
Category 3,"Who said: “the LORD gave, and the LORD hath taken away; blessed be the name of the LORD”?",Job,David,Solomon,Isaiah,Job,Job 1: 21
Category 3,Which of the following did the bible say about Job?,He feared God,He feared no one,He was covetous,He loved wealth,Job,Job 1:1
Category 3,Where did Job live?,Uz,Nineveh,Jericho,Persia,Job,Job 1:1
Category 3,Which of these words was used to describe Job?,Upright,Uptight,Close-minded,Self-righteous,Job,Job 1:1
Category 3,Which of the following did the bible say about Job?,He eschewed evil,He was imperfect,He loved money,He was childless,Job,Job 1:1
Category 3,Which of these words was used to describe Job?,Perfect,Arrogant,Hardhearted,Stubborn,Job,Job 1:1
Category 3,Which of the following did Satan say God had done for Job?,Protected his house,Killed his enemies,Made his daughters beautiful,Given him many wives,Job,Job 1:10
Category 3,Which of the following did Satan say God had done for Job?,Blessed his work,Made him a king,Made others worship him,Made him a mighty warrior,Job,Job 1:10
Category 3,Which of the following did Satan say God had built around Job?,A hedge,A wall, A moat,A tower,Job,Job 1:10
Category 3,Which of the following did Satan say God had done for Job?,Increased his wealth,Made his name feared,Made him adored by women,Made others worship him,Job,Job 1:10
Category 3,What did Satan tell God would happen if he let something bad happen to Job?,Job would curse God,Job would lose his mind,Job would seek other gods,Job would stop praying,Job,Job 1:11
Category 3,"Whom did God tell, “Behold, all that he hath is in thy power; only upon himself put not forth thine hand”?",Satan,Michael,Gabriel,Abaddon,Job,Job 1:12
Category 3,"Initially, what did God allow Satan to do to Job?",Harm his family,Give him boils,Take his sight,Make him dumb,Job,Job 1:12
Category 3,"Of whom was God speaking when he said, “Behold, all that he hath is in thy power; only upon himself put not forth thine hand”?",Job,Jesus ,Abraham,Lot,Job,Job 1:12
Category 3,"Initially, what did God allow Satan to do to Job?",Take his possessions,Kill his wife,Destroy his love for God,Take his sight,Job,Job 1:12
Category 3,How were Job’s servants guarding his oxen killed?,With swords,With knives,With arrows,With clubs,Job,Job 1:15
Category 3,What did the third servant who brought Job bad news tell him?,His camels had been stolen,His sheep had been stolen,His cattle had been stolen,His goats had been stolen,Job,Job 1:15
Category 3,What did the first messenger who brought Job bad news tell him?,His oxen had been stolen,His camels had been stolen,His sheep had been stolen,His goats had been stolen ,Job,Job 1:15
Category 3,How were Job’s servants guarding his donkeys killed?,With swords,With knives,With arrows,With clubs,Job,Job 1:15
Category 3,What did the first messenger who brought Job bad news tell him?,His donkeys had been stolen,His cattle had been stolen,His camels had been stolen,His sheep had been stolen,Job,Job 1:15
Category 3,What did the first messenger who brought Job bad news tell him?,His servants had been killed,His wife had been killed,His sons had been killed,His daughters had been killed,Job,Job 1:15
Category 3,"The first messenger to bring Job bad news said he, the messenger, was one of how many servants who survived?",1,10,6,5,Job,Job 1:15
Category 3,Who did Job’s servant tell him had stolen his oxen?,Sabeans,Chaldeans ,Syrians,Egyptians,Job,Job 1:15
Category 3,Who did Job’s servant tell him had stolen his donkeys?,Sabeans,Chaldeans ,Syrians,Egyptians,Job,Job 1:15
Category 3,Who did the first bearer of bad news tell Job had killed his servants?,Sabeans,Samarians,Mesopotamians,Egyptians,Job,Job 1:15
Category 3,What did the second bearer of bad news tell Job had killed his servants?,Fire from heaven,An earthquake,Poisonous water,Egyptian marauders,Job,Job 1:16
Category 3,"The second messenger to bring Job bad news said he, the messenger, was one of how many servants who survived?",1,10,3,6,Job,Job 1:16
Category 3,What killed Job’s sheep?,Fire from heaven,Syrian bandits,Infectious disease,An earthquake,Job,Job 1:16
Category 3,What did the second messenger who brought Job bad news tell him?,His servants had been killed,His sons had been killed,His wife had been killed,His daughters had been killed,Job,Job 1:16
Category 3,"While the first bearer of bad news to Job was still speaking, what happened?",Another servant appeared,Job fainted,God spoke to Job,Satan appeared,Job,Job 1:16
Category 3,What did the second messenger who brought Job bad news tell him?,His sheep had been killed,His oxen had been killed,His cattle had been killed,His camel had been killed,Job,Job 1:16
Category 3,What happened while the second bearer of bad news was still talking to Job?,A third servant appeared,God spoke to Job,Job’s wife appeared,Job ran away,Job,Job 1:17
Category 3,"The third messenger to bring Job bad news said he, the messenger, was one of how many servants who survived?",1,4,2,7,Job,Job 1:17
Category 3,Who did the third bearer of bad news tell Job had killed his servants?,Chaldeans,Syrians,Egyptians,Babylonians,Job,Job 1:17
Category 3,What did the third servant who brought Job bad news tell him?,His servants had been killed,His servants were taken hostage,His children were kidnapped,His children were killed,Job,Job 1:17
Category 3,How were Job’s servants who were caring for his camels killed?,With swords,With knives,By an earthquake,By fire from heaven,Job,Job 1:17
Category 3,What did the fourth servant who brought Job bad news tell him?,His children were dead,His wife was dead,His cattle were stolen,His sheep were stolen,Job,Job 1:17
Category 3,What happened while the third bearer of bad news was still talking to Job?,A fourth servant appeared,Job cursed God,Job’s wife cursed God,Job lost his sight,Job,Job 1:18
Category 3,How were Job’s children killed?,By a great wind,By fire from heaven,By an earthquake,By Egyptian bandits,Job,Job 1:19
Category 3,How many sons did Job have before his troubles?,7,2,5,10,Job,Job 1:2
Category 3,How many daughters did Job have before his troubles?,3,2,5,4,Job,Job 1:2
Category 3,What did Job do after hearing a series of bad news from his servants?,Fell on the ground,Fell silent ,Left home,Locked himself away,Job,Job 1:20
Category 3,What did Job do after hearing a series of bad news from his servants?,Shaved his head,Locked himself away,Cried bitterly,Cursed God,Job,Job 1:20
Category 3,What did Job do after hearing a series of bad news from his servants?,Worshipped,Cursed God,Cursed his luck,Left home,Job,Job 1:20
Category 3,What did Job do after hearing a series of bad news from his servants?,Tore his clothes,Nothing,Cried bitterly,Cursed God,Job,Job 1:20
Category 3,"Who said: “Naked came I out of my mother's womb, and naked shall I return thither”?",Job,David,Solomon,Isaiah,Job,Job 1:21
Category 3,After hearing a series of bad news from his servants what is one thing Job didn’t do?,Sin,Worship God,Grieve,Suffer,Job,Job 1:22
Category 3,After hearing a series of bad news from his servants what is one thing Job didn’t do?,Charge God foolishly,Shave his head,Worship,Bless the name of the Lord,Job,Job 1:22
Category 3,How many sheep did Job have before his troubles?,"7,000","5,000","3,500","2,000",Job,Job 1:3
Category 3,How many oxen did Job have before his troubles?,500,900,350,700,Job,Job 1:3
Category 3,How many female donkeys did Job have before his troubles?,500,450,800,200,Job,Job 1:3
Category 3,How many camels did Job have before his troubles?,"3,000",7,4.5,"2,000",Job,Job 1:3
Category 3,"At the beginning of the book of Job, how many female donkeys did Job have?",500,75,120,350,Job,Job 1:3
Category 3,Which biblical figure was called “the greatest of all the men of the east”?,Job,Solomon,Abraham,Moses,Job,Job 1:3
Category 3,"At the beginning of the book of Job, how many sheep did Job have?","7,000",220,900,"2,500",Job,Job 1:3
